Otu	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-1	TC-2	TC-3
Otu000246	119	186	119	63	104	46	42	75	75	46	34	44
Otu000247	11	8	25	204	131	219	11	13	39	152	83	53
Otu000248	4	5	3	107	89	56	22	22	28	278	263	66
Otu000249	145	117	142	53	83	73	52	83	39	46	53	55
Otu000250	64	57	102	96	85	78	90	86	85	49	69	80
Otu000251	2	4	1	103	68	44	106	82	103	161	173	94
Otu000252	79	62	45	64	85	67	112	80	157	79	38	69
Otu000253	160	128	151	79	71	72	49	47	60	33	34	47
Otu000254	36	60	35	39	84	57	151	98	110	72	83	103
Otu000255	0	6	3	70	508	108	8	0	6	12	176	31
Otu000256	21	12	33	178	226	138	17	10	18	146	72	47
Otu000257	79	70	29	62	101	53	64	115	69	74	133	67
Otu000258	40	42	30	60	85	62	135	120	110	74	78	68
Otu000259	12	6	5	49	56	57	106	95	105	76	180	154
Otu000260	108	120	24	60	90	51	66	169	57	86	36	33
Otu000261	99	83	87	39	47	31	98	94	98	54	73	96
Otu000262	9	17	10	93	48	60	71	56	104	95	138	196
Otu000263	51	35	47	71	64	45	88	108	137	76	101	71
Otu000264	25	121	17	62	94	111	88	90	94	66	19	106
Otu000265	90	88	76	82	133	94	65	57	62	35	63	43
Otu000266	125	103	108	42	55	71	99	69	101	27	35	52
Otu000267	29	18	21	135	223	134	42	23	38	82	101	38
Otu000268	58	104	48	55	68	59	85	93	75	66	72	93
Otu000269	136	121	101	29	61	51	77	82	84	29	42	59
Otu000270	85	102	88	91	73	21	80	95	61	71	43	61
Otu000271	122	99	134	74	83	58	62	58	60	27	45	45
Otu000272	182	183	15	59	75	58	42	150	31	45	4	14
Otu000273	21	11	20	45	94	65	74	123	74	103	140	88
Otu000274	12	16	35	42	43	27	63	91	39	161	195	133
Otu000275	3	3	18	318	290	94	3	16	5	21	72	10
Otu000276	94	77	98	33	47	65	105	71	123	32	56	48
Otu000277	111	91	124	32	43	27	64	100	60	41	66	86
Otu000278	98	97	96	67	59	59	55	73	81	42	49	67
Otu000279	94	77	90	69	76	48	70	79	57	48	63	70
Otu000280	70	14	17	36	15	27	85	71	45	122	57	275
Otu000281	117	112	70	54	89	48	40	58	61	72	36	75
Otu000282	109	75	77	52	56	66	66	56	82	58	49	86
Otu000283	153	110	183	31	39	53	89	29	79	21	22	22
Otu000284	38	66	165	68	52	58	33	76	47	52	100	74
Otu000285	20	53	57	46	116	15	74	92	48	119	103	84
Otu000286	14	47	25	15	41	14	126	99	132	83	136	93
Otu000287	103	115	116	47	60	64	61	62	66	34	35	61
Otu000288	61	66	37	27	28	46	99	104	84	64	81	126
Otu000289	3	0	0	370	39	9	127	16	3	136	108	11
Otu000290	31	42	10	30	42	21	141	206	129	63	55	51
Otu000291	18	22	26	63	75	40	59	101	62	89	104	159
Otu000292	107	95	111	47	67	35	57	65	70	47	58	55
Otu000293	70	83	5	39	32	38	57	188	35	42	92	133
Otu000294	5	4	2	183	122	154	62	16	24	92	82	64
Otu000295	128	107	98	52	89	35	85	44	65	27	42	36
Otu000296	119	93	92	48	61	49	64	77	69	38	57	41
Otu000297	96	101	10	74	131	61	65	165	52	45	3	3
Otu000298	126	128	123	33	61	43	60	61	55	24	49	37
Otu000299	109	99	270	29	34	33	35	52	41	26	29	41
Otu000300	76	56	60	56	66	46	49	116	67	68	47	81
Otu000301	135	169	167	50	55	43	26	33	20	11	45	34
Otu000302	30	146	16	39	85	96	73	79	96	32	12	82
Otu000303	95	67	86	37	44	51	95	94	87	31	56	35
Otu000304	87	91	94	41	54	67	67	56	112	33	31	42
Otu000305	83	110	126	100	109	88	8	32	23	28	29	36
Otu000306	0	2	0	264	144	101	1	0	0	255	1	2
Otu000307	59	35	64	55	56	36	63	104	78	53	95	72
Otu000308	116	98	179	33	38	56	53	26	93	16	25	34
Otu000309	152	99	122	63	98	52	32	23	38	21	27	39
Otu000310	47	96	65	59	137	29	47	64	33	69	62	58
Otu000311	28	43	23	102	124	85	43	34	56	77	74	76
Otu000312	110	87	10	26	33	31	78	210	60	85	6	24
Otu000313	4	6	3	14	10	10	100	113	83	127	110	180
Otu000314	33	77	61	59	105	40	25	85	34	56	78	106
Otu000315	62	64	1	39	55	58	62	153	21	110	46	87
Otu000316	126	152	37	33	99	80	15	118	38	51	1	7
Otu000317	32	27	23	48	80	58	47	40	64	53	135	144
Otu000318	146	110	101	35	49	54	63	60	52	33	21	22
Otu000319	78	48	83	36	59	48	77	89	63	56	60	47
Otu000320	140	71	106	35	47	47	75	58	60	17	38	49
Otu000321	59	45	51	52	78	46	43	85	69	93	53	67
Otu000322	67	3	0	16	5	24	25	77	101	89	44	287
Otu000323	94	108	21	47	49	46	85	119	93	33	16	26
Otu000324	70	74	75	44	61	72	65	74	85	37	34	44
Otu000325	124	85	219	50	29	52	32	28	26	16	24	42
Otu000326	102	121	225	62	48	51	22	28	15	13	22	18
Otu000327	27	30	33	50	78	51	66	103	85	73	61	63
Otu000328	75	58	108	32	60	31	70	76	72	37	53	44
Otu000329	42	31	50	46	72	37	54	68	78	96	83	59
Otu000330	8	27	23	141	81	126	25	28	23	93	91	43
Otu000331	123	107	109	51	64	57	41	37	51	19	19	30
Otu000332	81	42	69	54	125	48	67	56	54	24	46	40
Otu000333	105	131	22	51	45	81	56	145	43	13	1	9
Otu000334	39	41	65	52	91	30	53	45	50	55	115	65
Otu000335	112	65	74	30	47	51	50	62	77	28	43	58
Otu000336	81	57	99	49	40	36	47	70	53	55	54	56
Otu000337	10	7	11	40	101	48	55	76	59	122	103	64
Otu000338	19	22	24	83	111	60	66	57	117	51	60	25
Otu000339	100	127	19	47	78	44	45	135	40	49	1	9
Otu000340	61	61	57	40	71	43	59	67	91	35	56	53
Otu000341	102	95	71	46	64	41	63	53	61	31	27	36
Otu000342	1	0	2	29	51	68	3	8	9	171	170	171
Otu000343	146	79	94	46	139	49	38	25	20	13	12	19
Otu000344	103	166	4	23	54	42	30	144	60	36	4	12
Otu000345	6	1	1	161	10	11	13	97	13	86	184	93
Otu000346	137	100	98	50	49	25	54	54	43	11	20	31
Otu000347	14	27	22	54	36	33	78	92	50	90	67	108
Otu000348	34	21	52	31	25	40	77	91	54	74	87	84
Otu000349	75	96	34	47	61	49	46	92	36	42	53	38
Otu000350	78	82	72	44	72	19	52	70	73	26	34	37
Otu000351	100	144	157	44	48	63	13	20	9	0	14	44
Otu000352	88	134	52	42	64	43	36	58	31	49	15	43
Otu000353	134	83	99	27	60	34	55	52	48	12	24	22
Otu000354	49	168	2	57	137	24	14	45	18	97	6	29
Otu000355	35	173	56	46	50	59	35	47	39	26	14	64
Otu000356	99	61	97	39	37	35	56	62	56	18	32	51
Otu000357	52	61	66	49	89	56	50	44	64	35	42	35
Otu000358	108	79	88	61	139	84	8	5	21	22	10	17
Otu000359	47	47	36	72	71	71	54	38	47	64	44	50
Otu000360	120	78	81	30	42	27	57	61	57	19	33	34
Otu000361	44	78	55	77	92	66	43	55	40	27	25	31
Otu000362	52	112	12	52	38	34	25	175	39	52	7	34
Otu000363	26	11	8	54	77	52	46	38	71	79	69	98
Otu000364	68	71	70	41	61	41	46	50	57	23	51	50
Otu000365	111	93	86	53	90	55	45	23	31	8	19	12
Otu000366	82	66	72	39	40	40	78	65	59	22	18	45
Otu000367	15	1	5	29	41	48	27	33	28	55	189	153
Otu000368	86	72	204	36	21	24	18	40	33	7	17	64
Otu000369	36	19	25	32	41	32	104	82	101	60	35	54
Otu000370	95	88	207	26	36	37	24	32	23	12	16	25
Otu000371	68	71	55	42	49	49	91	44	83	31	18	20
Otu000372	95	90	121	46	62	25	27	46	44	26	14	25
Otu000373	101	69	97	55	67	43	39	21	41	27	29	30
Otu000374	80	69	56	26	38	51	104	51	89	16	20	19
Otu000375	70	87	64	27	30	41	60	53	87	37	25	38
Otu000376	27	21	22	26	32	30	92	101	82	34	61	85
Otu000377	98	62	86	35	38	26	40	65	59	33	37	32
Otu000378	50	72	4	12	40	8	96	113	31	64	52	66
Otu000379	74	94	18	112	134	72	40	26	4	10	9	14
Otu000380	112	95	101	78	62	41	14	10	22	14	26	29
Otu000381	60	100	46	27	45	25	80	45	43	31	47	54
Otu000382	27	22	18	61	78	50	67	60	52	53	42	72
Otu000383	67	92	72	45	66	61	28	33	32	22	31	53
Otu000384	47	64	103	50	53	27	40	62	29	27	55	44
Otu000385	22	19	29	35	30	41	72	64	93	34	69	88
Otu000386	45	34	33	39	63	43	68	69	64	54	32	51
Otu000387	15	66	14	48	60	81	41	67	63	47	6	86
Otu000388	4	20	0	40	29	29	64	102	65	105	19	109
Otu000389	68	90	75	45	101	40	18	32	44	29	22	19
Otu000390	87	58	88	30	54	30	57	54	33	31	29	31
Otu000391	2	0	6	86	93	53	7	4	3	263	47	18
Otu000392	86	118	147	43	42	35	13	22	12	11	21	31
Otu000393	20	17	40	3	3	8	87	106	111	36	41	107
Otu000394	53	108	27	84	157	50	14	22	11	19	14	20
Otu000395	66	62	69	23	23	42	71	41	76	28	40	36
Otu000396	94	80	82	39	46	37	40	52	24	16	25	41
Otu000397	114	73	13	30	60	55	29	42	53	69	28	10
Otu000398	98	82	60	44	46	56	37	45	42	23	16	24
Otu000399	77	101	6	37	63	34	44	129	33	32	6	10
Otu000400	51	55	29	79	117	46	29	30	41	33	33	29
Otu000401	42	41	97	33	34	45	20	36	37	35	58	94
Otu000402	29	43	38	61	70	35	29	48	45	38	52	83
Otu000403	75	38	39	43	61	46	48	54	54	41	33	36
Otu000404	99	74	73	86	68	69	14	14	14	19	21	16
Otu000405	9	23	11	33	128	59	43	31	39	63	66	62
Otu000406	3	6	3	0	2	3	114	67	202	41	41	84
Otu000407	37	22	9	23	31	22	73	111	72	37	57	71
Otu000408	94	77	88	42	46	57	37	27	33	11	22	28
