	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_35010_6.txt	35010	6	5674.0	6317.1884273	5041.03150912	5031.89165187	5245.72813688	5187.7006689	5720.13827993	5411.83870968	5746.01957586	4946.79646018	4386.50471698	4774.52868852
alpha_rarefaction_35010_7.txt	35010	7	5613.72960725	6196.86676017	5156.25	4980.33050847	5111.58361775	5331.64798599	5707.12816189	5473.39108911	5901.83276451	4979.68617021	4323.82894737	4943.07188161
alpha_rarefaction_35010_8.txt	35010	8	5663.90909091	6233.16430595	4907.19508449	4956.80483592	5514.22346369	5261.18838028	5551.81045752	5576.67980296	5487.15321252	5042.42537313	4397.70681818	4763.06118547
alpha_rarefaction_35010_9.txt	35010	9	5862.37850467	5979.08955224	5062.09703947	5095.06521739	5370.78228782	5398.43617021	5374.96623794	5516.69439728	5845.35748792	5290.85233645	4457.45814978	4846.29449153
alpha_rarefaction_40010_0.txt	40010	0	5930.98847262	6017.30982368	5040.02255639	5266.36967632	5573.51492537	5631.49328859	5632.232	5738.02369668	5805.05084746	5301.0017094	4517.72427984	4753.76534296
alpha_rarefaction_40010_1.txt	40010	1	5818.64102564	6492.42175066	5154.22042139	5365.55166052	5375.60176991	5404.14733542	5839.3442623	5694.44736842	5689.41317365	5311.42582897	4443.23255814	4964.68239564
alpha_rarefaction_40010_2.txt	40010	2	5929.60986547	6274.20212766	5281.5106383	5121.44501718	5518.96276596	5493.19063545	5685.4453125	5565.01569859	5778.86818182	5228.10896309	4545.50539957	4785.11012433
alpha_rarefaction_40010_3.txt	40010	3	5765.83090379	6295.63185379	5353.48869565	5212.25432526	5256.25167785	5585.34703947	5866.31527094	5710.04038772	5581.9702381	5253.82010582	4455.4626556	4869.17169811
alpha_rarefaction_40010_4.txt	40010	4	5987.0619469	6451.08725762	5158.30894309	5372.58122744	5337.56492411	5453.08389262	5819.97774245	5585.19620253	5639.49016641	5531.05598456	4455.6835443	4839.4692029
alpha_rarefaction_40010_5.txt	40010	5	5837.77089337	6376.04638472	5276.54929577	5332.9204947	5290.52284264	5523.59738134	5795.79304636	5650.22852512	6000.52427184	5292.60940325	4341.50095969	5104.27852998
alpha_rarefaction_40010_6.txt	40010	6	5931.8483965	6311.56449553	5123.26971609	5435.67777778	5470.82867133	5289.18042813	5568.28593272	5705.30595813	5783.49775785	5367.42984014	4377.95294118	4787.88616462
alpha_rarefaction_40010_7.txt	40010	7	5966.94339623	6308.07190413	5020.72894334	5489.33962264	5570.39001848	5482.3592233	5840.57575758	5768.45098039	5862.80193237	5143.88739496	4476.09090909	4963.45283019
